AAC47805,RNA-dependent RNA polymerase ,Cryptosporidium parvum virus 1,524,Partitiviridae; Cryspovirus,,,,,,,,,,
AAC47806,unknown ,Cryptosporidium parvum virus 1,319,Partitiviridae; Cryspovirus,,,,,,,,,,
AEJ07890,putative RNA-dependent RNA polymerase ,Pepper cryptic virus 1,479,Partitiviridae; Deltapartitivirus,,,,,,,,,,
AEJ07891,putative coat protein ,Pepper cryptic virus 1,412,Partitiviridae; Deltapartitivirus,,,,,,,,,,
YP_052856,RNA-dependent RNA polymerase ,Penicillium stoloniferum virus S,539,Partitiviridae; Gammapartitivirus,,,,,,,,,,
YP_052857,capsid protein ,Penicillium stoloniferum virus S,434,Partitiviridae; Gammapartitivirus,,,,,,,,,,
YP_239359,hypothetical protein HPV_s1gp1 ,Human picobirnavirus,224,Picobirnaviridae; Picobirnavirus,,,,,,,,,,
YP_239360,hypothetical protein HPV_s1gp2 ,Human picobirnavirus,552,Picobirnaviridae; Picobirnavirus,,,,,,,,,,
YP_239361,RNA-dependent RNA polymerase ,Human picobirnavirus,534,Picobirnaviridae; Picobirnavirus,,,,,,,,,,
YP_005097972,hypothetical protein ,Rosellinia necatrix quadrivirus 1,1602,Quadriviridae; Quadrivirus,,,,,,,,,,
YP_005097973,structural protein ,Rosellinia necatrix quadrivirus 1,1061,Quadriviridae; Quadrivirus,,,,,,,,,,
YP_005097974,structural protein ,Rosellinia necatrix quadrivirus 1,1356,Quadriviridae; Quadrivirus,,,,,,,,,,
YP_005097975,RNA dependent RNA polymerase ,Rosellinia necatrix quadrivirus 1,1310,Quadriviridae; Quadrivirus,,,,,,,,,,
AAT11887,RNA-dependent RNA polymerase ,Eriocheir sinensis reovirus,1217,Reoviridae; Sedoreovirinae; Cardoreovirus,,,,,,,,,,
YP_654544,VP1 ,Micromonas pusilla reovirus,1897,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654545,VP2 ,Micromonas pusilla reovirus,1371,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654546,VP3 ,Micromonas pusilla reovirus,1026,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654547,VP4 ,Micromonas pusilla reovirus,916,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654548,VP5 ,Micromonas pusilla reovirus,509,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654549,VP6 ,Micromonas pusilla reovirus,521,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654550,VP7 ,Micromonas pusilla reovirus,485,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654551,VP8 ,Micromonas pusilla reovirus,458,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654552,VP9 ,Micromonas pusilla reovirus,393,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654553,VP10 ,Micromonas pusilla reovirus,236,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_654554,VP11 ,Micromonas pusilla reovirus,193,Reoviridae; Sedoreovirinae; Mimoreovirus,,,,,,,,,,
YP_052952,NS2 protein ,Bluetongue virus,354,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052953,VP6 protein ,Bluetongue virus,329,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052955,capsid protein VP5 ,Bluetongue virus,526,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052958,hypothetical protein BTVs2gp1 ,Bluetongue virus,956,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052959,hypothetical protein BTVs3gp1 ,Bluetongue virus,901,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052960,hypothetical protein BTVs10gp1 ,Bluetongue virus,229,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052967,VP7 ,Bluetongue virus,349,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052968,hypothetical protein BTVs1gp1 ,Bluetongue virus,1302,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052969,hypothetical protein BTVs4gp1 ,Bluetongue virus,644,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
YP_052970,hypothetical protein BTVs5gp1 ,Bluetongue virus,552,Reoviridae; Sedoreovirinae; Orbivirus,,,,,,,,,,
NP_620544,RNA-dependent RNA polymerase ,Rice dwarf virus,1444,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P14583,Putative mRNA-capping enzyme P5,Rice dwarf virus,801,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P22474,Non-structural protein 4,Rice dwarf virus,727,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P29249,Movement protein,Rice dwarf virus,509,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P12325,Protein P7,Wound tumor virus,519,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P12326,Minor outer capsid protein P9,Wound tumor virus,313,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P12366,Putative mRNA-capping enzyme P5,Wound tumor virus,804,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P13091,Non-structural protein 4,Wound tumor virus,732,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P13092,Non-structural protein PNS7,Wound tumor virus,520,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P13093,Non-structural protein Pns10,Wound tumor virus,345,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P13094,Suppressor of RNA-mediated gene silencing,Wound tumor virus,347,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P13278,RNA-binding protein,Wound tumor virus,178,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P17380,Outer capsid protein P8,Wound tumor virus,427,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P31610,Protein P7,Wound tumor virus,519,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P31611,Minor outer capsid protein P9,Wound tumor virus,313,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
P31612,RNA-binding protein,Wound tumor virus,178,Reoviridae; Sedoreovirinae; Phytoreovirus,,,,,,,,,,
YP_002302219,NSP1 ,Rotavirus A,496,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302220,NSP3 ,Rotavirus A,315,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302221,NSP2 ,Rotavirus A,317,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302222,VP7 ,Rotavirus A,326,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302223,NSP4 ,Rotavirus A,175,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302224,NSP5 ,Rotavirus A,198,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302225,NSP6 ,Rotavirus A,92,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302226,VP2 ,Rotavirus A,882,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302227,VP1 ,Rotavirus A,1088,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302228,VP3 ,Rotavirus A,835,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302229,VP6 ,Rotavirus A,397,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
YP_002302230,outer capsid spike protein VP4 ,Rotavirus A,776,Reoviridae; Sedoreovirinae; Rotavirus,,,,,,,,,,
NP_694456,vp12 ,Banna virus,207,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694458,Vp11 ,Banna virus,180,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694459,Vp10 ,Banna virus,249,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694460,Vp9 ,Banna virus,283,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694461,Vp8 ,Banna virus,302,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694462,Vp7 ,Banna virus,306,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694469,putative RNA-dependent RNA polymerase VP1 ,Banna virus,1214,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694475,VP2 ,Banna virus,954,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694476,VP3 ,Banna virus,720,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694477,VP4 ,Banna virus,576,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694478,VP5 ,Banna virus,508,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
NP_694479,VP6 ,Banna virus,425,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460026,RNA-dependent RNA polymerase ,Liao ning virus,1222,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460027,VP2 ,Liao ning virus,963,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460028,capping enzyme ,Liao ning virus,735,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460029,VP4 ,Liao ning virus,636,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460030,VP5 ,Liao ning virus,476,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460031,VP6 ,Liao ning virus,521,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460032,VP7 ,Liao ning virus,338,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460033,VP8 ,Liao ning virus,297,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460034,VP9 ,Liao ning virus,262,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460035,VP10 ,Liao ning virus,250,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460036,VP11 ,Liao ning virus,198,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_460037,VP12 ,Liao ning virus,174,Reoviridae; Sedoreovirinae; Seadornavirus,,,,,,,,,,
YP_398633,putative core protein NTPase/VP5 ,Aquareovirus A,723,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398634,putative non-structural protein NS4/5 ,Aquareovirus A,452,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398629,putative guanylyl/methyl transferase ,Chum salmon reovirus CS,1297,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398630,putative viral polymerase ,Chum salmon reovirus CS,1240,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398631,putative NTPase/RNA helicase ,Chum salmon reovirus CS,1210,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398632,putative non-structural protein ,Chum salmon reovirus CS,391,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398635,core protein VP6 ,Chum salmon reovirus CS,417,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398636,putative non-structural protein NS2 ,Chum salmon reovirus CS,350,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398637,putative outer coat protein ,Chum salmon reovirus CS,298,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398638,putative non-structural protein ns3 ,Chum salmon reovirus CS,235,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
YP_398639,putative outer capsid VP4 ,Chum salmon reovirus CS,643,Reoviridae; Spinareovirinae; Aquareovirus,,,,,,,,,,
NP_690889,VP9' ,Colorado tick fever virus,602,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690890,VP9 ,Colorado tick fever virus,337,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690891,putative RNA-dependent RNA polymerase VP1 ,Colorado tick fever virus,1435,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690892,VP2 ,Colorado tick fever virus,1209,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690893,VP3 ,Colorado tick fever virus,1182,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690894,VP4 ,Colorado tick fever virus,1027,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690895,VP5 ,Colorado tick fever virus,751,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690896,VP6 ,Colorado tick fever virus,697,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690897,VP7 ,Colorado tick fever virus,684,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690898,VP8 ,Colorado tick fever virus,660,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690899,VP10 ,Colorado tick fever virus,605,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690900,VP12 ,Colorado tick fever virus,185,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_690901,VP11 ,Colorado tick fever virus,249,Reoviridae; Spinareovirinae; Coltivirus,,,,,,,,,,
NP_149146,putative major core protein ,Cypovirus 1,1333,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149147,RNA-dependent RNA polymerase ,Cypovirus 1,1225,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149148,hypothetical protein LdCPV1s3gp1 ,Cypovirus 1,1237,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149149,hypothetical protein LdCPV1s4gp1 ,Cypovirus 1,1058,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149150,hypothetical protein LdCPV1s5gp1 ,Cypovirus 1,881,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149151,hypothetical protein LdCPV1s6gp1 ,Cypovirus 1,561,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149152,hypothetical protein LdCPV1s7gp1 ,Cypovirus 1,448,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149153,hypothetical protein LdCPV1s8gp1 ,Cypovirus 1,390,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149154,hypothetical protein LdCPV1s9gp1 ,Cypovirus 1,320,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
NP_149155,polyhedrin ,Cypovirus 1,248,Reoviridae; Spinareovirinae; Cypovirus,,,,,,,,,,
YP_443935,VP1 ,Aedes pseudoscutellaris reovirus,1189,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443936,VP2 ,Aedes pseudoscutellaris reovirus,1233,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443937,VP3 ,Aedes pseudoscutellaris reovirus,1202,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443938,VP4 ,Aedes pseudoscutellaris reovirus,1003,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443939,VP5 ,Aedes pseudoscutellaris reovirus,1056,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443940,VP6 ,Aedes pseudoscutellaris reovirus,540,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443941,VP7 ,Aedes pseudoscutellaris reovirus,348,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443942,VP8 ,Aedes pseudoscutellaris reovirus,345,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_443943,VP9 ,Aedes pseudoscutellaris reovirus,278,Reoviridae; Spinareovirinae; Dinovernavirus,,,,,,,,,,
YP_249756,hypothetical protein ,Fiji disease virus,1193,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249757,hypothetical protein ,Fiji disease virus,1146,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249758,structural protein ,Fiji disease virus,335,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249759,hypothetical protein FDV_s9gp2 ,Fiji disease virus,208,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249760,myosin-like protein ,Fiji disease virus,845,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249761,B' spike structural protein ,Fiji disease virus,1167,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249762,RNA-dependent RNA polymerase ,Fiji disease virus,1470,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249763,putative 115.3 kDa protein ,Fiji disease virus,1002,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249764,hypothetical protein ,Fiji disease virus,594,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249765,hypothetical protein ,Fiji disease virus,555,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249766,hypothetical protein FDV_s7gp1 ,Fiji disease virus,364,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
YP_249767,hypothetical protein FDV_s7gp2 ,Fiji disease virus,307,Reoviridae; Spinareovirinae; Fijivirus; ,,,,,,,,,,
CAA56650,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,1072,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
CAA56651,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,1241,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
CAA57561,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,294,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
CAA57562,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,352,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
CAA57563,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,399,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
CAA57564,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,436,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
CAA57565,unnamed protein product ,Diadromus pulchellus idnoreovirus 1,1312,Reoviridae; Spinareovirinae; Idnoreovirus,,,,,,,,,,
YP_001936004,VP1 ,Mycoreovirus 1,1354,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936005,VP2 ,Mycoreovirus 1,1238,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936006,VP3 ,Mycoreovirus 1,1065,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936007,VP1 ,Mycoreovirus 1,720,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936008,VP5 ,Mycoreovirus 1,647,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936009,VP6 ,Mycoreovirus 1,649,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936010,P7 ,Mycoreovirus 1,469,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936011,P8 ,Mycoreovirus 1,481,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936012,P9 ,Mycoreovirus 1,297,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936013,P10 ,Mycoreovirus 1,247,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
YP_001936014,P11 ,Mycoreovirus 1,101,Reoviridae; Spinareovirinae; Mycoreovirus,,,,,,,,,,
NP_694679,major core protein lambda 1 ,Mammalian orthoreovirus 3,1275,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694680,guanylyltransferase ,Mammalian orthoreovirus 3,1289,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694681,polypeptide sigma-3 ,Mammalian orthoreovirus 3,365,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694682,sigma-1 protein ,Mammalian orthoreovirus 3,455,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694683,polyprotein ,Mammalian orthoreovirus 3,709,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694684,sigma-2 protein ,Mammalian orthoreovirus 3,418,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694685,micron-2 protein ,Mammalian orthoreovirus 3,736,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694686,micron-NS protein ,Mammalian orthoreovirus 3,719,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694687,minor core protein ,Mammalian orthoreovirus 3,1267,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694688,putative non-structural protein sigma NS ,Mammalian orthoreovirus 3,366,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_694689,hypothetical protein MoV3sS3gp2 ,Mammalian orthoreovirus 3,43,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_954614,mu-1 protein ,Mammalian orthoreovirus 3,42,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_954615,mu-1C ,Mammalian orthoreovirus 3,667,Reoviridae; Spinareovirinae; Orthoreovirus,,,,,,,,,,
NP_620514,P1 ,Rice ragged stunt virus,1237,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620515,P2 ,Rice ragged stunt virus,1192,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620516,major core capsid protein ,Rice ragged stunt virus,1173,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620517,P6 ,Rice ragged stunt virus,592,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620527,spike protein ,Rice ragged stunt virus,338,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620528,autocatalytic protease precurser ,Rice ragged stunt virus,596,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620529,minor structural protein ,Rice ragged stunt virus,808,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620539,Pns10 ,Rice ragged stunt virus,297,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620540,Pns7 ,Rice ragged stunt virus,608,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
NP_620541,RNA-dependent RNA polymerase ,Rice ragged stunt virus,1255,Reoviridae; Spinareovirinae; Oryzavirus,,,,,,,,,,
